"","DATE","revenue","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","search_S","competitor_sales_B","facebook_S","events","newsletter"
"28",2016-05-30,869198.333333334,0,0,0,0,13697.3625576124,4040,2895248,0,"na",9003
"29",2016-06-06,727250,0,0,0,0,9330.99615876563,3600,2427455,0,"na",4305
"30",2016-06-13,753730,0,0,0,0,14439.943109639,4560,2516566,0,"na",7217
"31",2016-06-20,999196.666666667,61417.16,371724.8,0,33454960.6557654,13426.1853670003,4880,3012353,7659.46754399115,"na",1983
"32",2016-06-27,845843.333333333,0,0,0,0,11025.0915131764,4520,2826660,0,"na",3437
"33",2016-07-04,1126016.66666667,30363.04,0,15505.2,0,13000.9753927588,5240,3489775,0,"na",4147
"34",2016-07-11,1140978.33333333,0,0,0,0,17558.7421924574,5720,3807127,0,"na",8479
"35",2016-07-18,1242656.66666667,5701.24,958929.6,14342,33729872.8687114,12646.6102778097,4280,3824504,10658.4448704671,"na",6348
"36",2016-07-25,1293483.33333333,0,0,0,0,18869.8338730028,5840,4307032,0,"na",13762
"37",2016-08-01,1484843.33333333,84540.76,492651.2,0,53605561.3881105,20555.155102862,6840,4396674,15306.0942473233,"na",11841
"38",2016-08-08,1485698.33333333,0,0,2423.33333333333,0,21913.056334795,7600,4941143,0,"na",17162
"39",2016-08-15,1556608.33333333,85892.04,0,0,15373941.6231327,0,0,4762083,3035.63307500258,"na",19401.6538461538
"40",2016-08-22,1391206.66666667,0,0,41939.2,11664166.5346404,0,0,4409483,1925.51815540065,"na",19401.6538461538
"41",2016-08-29,2018783.33333333,71973.48,478937.6,0,0,27453.5393575206,9240,6065021,0,"na",2453
"42",2016-09-05,2170721.66666667,63785.52,263430.4,9244.13333333332,3879870.3646725,21811.126985494,9520,6512777,188.390732940523,"na",3186
"43",2016-09-12,2247670,0,480347.2,0,0,30396.4989346336,10000,7311071,0,"na",11247
"44",2016-09-19,2192026.66666667,0,98083.2,76609.8666666668,54564098.3619797,31697.6806069724,10200,6652807,13612.8542979335,"na",15280
"45",2016-09-26,1895213.33333333,0,487126.4,0,0,22420.1181496028,8920,6168548,0,"na",2886
"46",2016-10-03,2232910,433609.92,365609.6,29439.4666666667,42679536.9426691,28940.1273785625,10120,6395275,9441.50307843027,"na",14067
"47",2016-10-10,2406035,0,0,32171.3333333333,46050657.171974,37640.4867839068,11960,7711902,10842.500086987,"na",24098
"48",2016-10-17,2252445,244168.04,89387.2,0,61417892.420928,36705.0621011294,11160,6734048,15973.251880587,"na",26550
"49",2016-10-24,2663125,0,476737.6,28082.9333333333,63942540.2611415,31599.3953431025,12240,8356638,17597.7688101301,"na",17728
"50",2016-10-31,2974771.66666667,281984.36,0,0,71765591.9360446,34659.9239814561,14680,8937615,19222.2857396732,"na",13989
"51",2016-11-07,2826128.33333333,0,427806.4,34631.4666666667,64033311.3669239,42223.9926952869,12480,8832206,20864.8339566018,"na",29426
"52",2016-11-14,3182900,156973.16,0,0,52199572.1605198,0,0,9584624,15996.046149546,"na",19401.6538461538
"53",2016-11-21,2964696.66666667,20871.16,435054.4,21879.2,80485549.8926248,0,0,9029457,20046.2815518938,"na",19401.6538461538
"54",2016-11-28,2848525,0,0,12428.8,53736753.4976524,73955.9563237708,28600,9334174,14195.6391147518,"na",27941
"55",2016-12-05,2740160,42763.2,717241.6,0,21469926.0322354,65123.9879303263,25200,8234498,4969.40359385557,"na",51273
"56",2016-12-12,2380508.33333333,0,0,0,29472934.6021818,52768.8606138225,22040,7904539,9091.08371980631,"na",19606
"57",2016-12-19,2230915,0,1004760,0,14122124.6898919,47686.7842705688,20680,7127441,3035.63307500258,"na",4453
"58",2016-12-26,3659425,323163.04,0,0,68537049.499028,77849.5859956718,23200,7730351,21679.6440186449,"na",559
"59",2017-01-02,2827008.33333333,123163.04,1361088,83994.4,58171140.2101937,58179.8415290192,22120,7498330,12843.6327738085,"na",46507
"60",2017-01-09,2042143.33333333,0,0,0,58671678.0297663,63213.96521274,21240,6815506,16418.9308706815,"na",21771
"61",2017-01-16,2113358.33333333,17739.88,0,4606.93333333332,56039474.6180184,61912.6340950141,20120,6701008,17963.1575394137,"na",35351
"62",2017-01-23,2179918.33333333,0,0,32342.9333333333,86758062.4439567,61384.3735386268,21000,6998027,19507.3842081459,"na",13998
"63",2017-01-30,2370613.33333333,120734.88,0,0,60054669.933808,68123.1128736865,21680,7097324,12841.9317089608,"na",27415
"64",2017-02-06,1814556.66666667,0,0,0,0,44602.7678886778,16760,6048680,0,"na",4085
"65",2017-02-13,1951668.33333333,0,383171.2,0,88205178.523459,0,0,6290401,24781.3656619212,"na",19401.6538461538
"66",2017-02-20,1918238.33333333,0,0,32073.0666666667,0,0,0,6137639,0,"na",19401.6538461538
"67",2017-02-27,1472390,0,0,0,142691898.236843,37539.2049168586,13520,4802056,41701.8577018849,"na",26556
"68",2017-03-06,1477865,0,0,42083.3333333332,0,46462.9932110896,14000,4688746,0,"na",12272
"69",2017-03-13,1300166.66666667,31082.64,0,0,0,41198.0192044634,12640,4119318,0,"na",25992
"70",2017-03-20,1160205,0,0,59561.4666666668,0,29804.3185175164,11320,3618373,0,"na",22696
"71",2017-03-27,1356871.66666667,0,73428.8,0,31147280.4197855,45902.2299264791,14400,4476843,7847.60531614557,"na",26404
"72",2017-04-03,1355833.33333333,0,0,0,0,31975.8003692958,13680,4523389,0,"na",1245
"73",2017-04-10,1176266.66666667,0,1501084.8,0,0,25465.6486649765,11000,3711150,0,"na",1126
"74",2017-04-17,1955281.66666667,22407.16,0,0,0,27251.5033966629,10640,3057885,0,"na",11966
"75",2017-04-24,1029928.33333333,0,888464,0,0,26141.4614144713,9800,3309344,0,"na",17897
"76",2017-05-01,2263143.33333333,109868.76,0,0,0,22180.0382538233,7800,2826863,0,"na",6052
"77",2017-05-08,813771.666666667,0,919038.4,0,0,18525.6157668773,8040,2604828,0,"na",9055
"78",2017-05-15,880871.666666667,0,0,0,0,0,0,2940496,0,"na",19401.6538461538
"79",2017-05-22,919185,0,123019.2,0,46342101.0346245,0,0,3024982,11935.6043581121,"na",19401.6538461538
"80",2017-05-29,826321.666666667,0,0,21524.1333333333,0,18580.0929101184,6520,2681061,0,"na",5778
"81",2017-06-05,833798.333333333,27376.4,127460.8,0,38495441.9203474,18758.7124304613,8040,2609725,9276.15957523489,"na",1988
"82",2017-06-12,746271.666666667,0,0,0,0,22062.2629647143,6680,2487079,0,"na",4794
"83",2017-06-19,1036406.66666667,108779.04,0,0,3288608.26981708,26777.6025767438,9520,3149223,93.8115274090074,"na",5180
"84",2017-06-26,927931.666666667,0,475896,13978.2666666667,0,20789.3458186649,8000,2963072,0,"na",1048
"85",2017-07-03,1126943.33333333,13682.28,0,28719.2,75117628.1836547,37944.4648875156,11360,3485135,19950.3414944841,"na",10977
"86",2017-07-10,1184220,0,0,0,0,35559.57852297,11160,3950566,0,"na",6813
"87",2017-07-17,1315508.33333333,29591.4,324544,74872.5333333332,0,33056.51740256,11560,3800790,0,"na",2361
"88",2017-07-24,1279360,0,0,0,0,34686.8114445359,11600,4264348,0,"na",15114
"89",2017-07-31,1455811.66666667,34154.76,616320,4357.33333333332,0,38038.5555319372,13600,4429446,0,"na",10044
"90",2017-08-07,1553355,0,314598.4,28401.7333333333,0,53676.1890052003,16080,4916984,0,"na",8930
"91",2017-08-14,1374855,102141.16,0,0,0,0,0,4198833,0,"na",19401.6538461538
"92",2017-08-21,1970110,0,0,34044.5333333333,19322483.2131345,0,0,6276021,4028.03430714441,"na",19401.6538461538
"93",2017-08-28,2336431.66666667,353667.36,0,0,14227048.4859357,70335.0747198681,21000,7010039,2696.7809573429,"na",33712
"94",2017-09-04,2002065,0,0,0,0,44809.8245683359,19480,6679241,0,"na",20000
"95",2017-09-11,2027418.33333333,146607.8,450494.4,13831.0666666667,8110862.43322492,46999.408028496,16760,5890204,1865.30045979246,"na",2265
"96",2017-09-18,1886570,0,0,0,0,55166.2694267929,19320,6289814,0,"na",15924
"97",2017-09-25,2529721.66666667,250991.52,433691.2,0,31678562.482944,72998.5609077732,22920,7410667,7587.00218147959,"na",24336
"98",2017-10-02,2357930,333913.36,175089.6,0,0,69679.8337596352,22040,7799073,0,"na",29510
"99",2017-10-09,3003391.66666667,133913.36,981708.8,55514.8,58082600.284394,55293.3577954536,24040,8147766,16045.7172430985,"na",15458
"100",2017-10-16,2283685,0,0,0,44812187.3033051,72764.8309726617,22760,7617066,12571.1221852087,"na",43966
"101",2017-10-23,2584721.66666667,133081.52,138273.6,0,64280547.0084809,69347.5311740767,23760,7756047,14195.6391147518,"na",35016
"102",2017-10-30,2565400,13935.68,0,0,67034964.424165,73130.1311748102,25400,8307903,15820.1560442949,"na",4749
"103",2017-11-06,3407085,63447.04,955572.8,69119.7333333332,39944030.3660624,78990.717115812,29480,9283504,10658.4448704671,"na",25943
"104",2017-11-13,2803291.66666667,0,0,0,95672835.508679,0,0,9355428,22800.3055403025,"na",19401.6538461538
"105",2017-11-20,3303155,165682,315915.2,4038.26666666668,36587638.0554736,0,0,9662004,9839.89246575906,"na",19401.6538461538
"106",2017-11-27,3103743.33333333,0,0,28805.3333333333,35527833.911727,110717.903697491,45040,9984742,7391.37972399534,"na",41469
"107",2017-12-04,2793875,86770.64,263526.4,0,22479813.6238963,91229.4187103398,38200,8430013,4969.40359385557,"na",16136
"108",2017-12-11,2260396.66666667,0,0,0,31416253.7246704,81708.9871899691,33360,7544173,9091.08371980631,"na",37784
"109",2017-12-18,2399176.66666667,191247.16,275524.8,0,14540176.2849391,97406.951926765,35000,7267249,3035.63307500258,"na",43251
"110",2017-12-25,3827520,271247.16,0,45103.3333333332,69049248.2164542,90029.6800429118,30240,6834014,21679.6440186449,"na",57523
"111",2018-01-01,3109461.66666667,0,0,15875.0666666667,43210526.9236781,99917.8757320158,31960,6891431,12843.6327738085,"na",77617
"112",2018-01-08,2228128.33333333,0,11841.6,0,66804744.2804219,101549.432734994,32520,7355344,16418.9308706815,"na",74527
"113",2018-01-15,2202593.33333333,117267.72,0,46442,0,95898.9718822413,30240,6360391,0,"na",10394
"114",2018-01-22,1918293.33333333,0,170433.6,58042.2666666668,0,67393.7613605172,27680,5937052,0,"na",9740
"115",2018-01-29,1862458.33333333,75507.6,0,0,0,76315.5359531636,26880,5721235,0,"na",13533
"116",2018-02-05,1975951.66666667,0,0,14240.4,8899204.04320396,96828.8513237611,31840,6467565,1418.94104375883,"na",56102
"117",2018-02-12,1827318.33333333,27495.64,162556.8,0,0,0,0,5749120,0,"na",19401.6538461538
"118",2018-02-19,1656268.33333333,0,0,18934.2666666667,0,0,0,5389739,0,"na",19401.6538461538
"119",2018-02-26,1703790,37068.32,168513.6,30008.4,0,75508.862257062,22240,5114017,0,"na",19325
"120",2018-03-05,1488115,0,0,0,0,68384.0441960376,22080,4961257,0,"na",18078
"121",2018-03-12,1727330,159360.76,271812.8,61460.4,0,54808.7357739452,21240,4823884,0,"na",8711
"122",2018-03-19,1208246.66666667,0,0,0,0,53429.6932054916,17880,4036244,0,"na",12979
"123",2018-03-26,1388960,59231.52,245745.6,8967.46666666668,0,44222.3702089861,19000,4191403,0,"na",23910
"124",2018-04-02,2408331.66666667,0,0,0,0,55400.0398074277,16560,3583995,0,"na",10567
"125",2018-04-09,1131721.66666667,0,33772.8,0,0,55494.3615718628,17920,3771321,0,"na",41329
"126",2018-04-16,950015,0,0,0,21011312.2800328,50425.5652597756,14920,3167512,6339.78143515393,"na",21616
"127",2018-04-23,801298.333333333,0,475060.8,0,0,36824.0709337872,11080,2604407,0,"na",2529
"128",2018-04-30,779838.333333334,0,0,0,145985945.052684,28654.6271698549,9520,2549137,38401.791897368,"na",6836
"129",2018-05-07,889546.666666667,0,179022.4,0,0,45582.2769385064,14160,2937422,0,"na",330
"130",2018-05-14,862850,0,0,20410.9333333333,145131039.850826,0,0,2752045,39121.3423279405,"na",19401.6538461538
"131",2018-05-21,2601601.66666667,2841.32,78865.6,0,0,0,0,3080867,0,"event1",19401.6538461538
"132",2018-05-28,905008.333333334,0,0,12616.2666666667,14870672.2380059,37990.5313677155,13920,2957153,3027.12775076413,"na",28568
"133",2018-06-04,910551.666666667,0,0,0,0,48237.866062019,14160,3035519,0,"na",26708
"134",2018-06-11,923853.333333333,24944.04,0,16274,0,31886.2197190407,13600,2885659,0,"na",7675
"135",2018-06-18,982420,0,52388.8,0,0,48085.8936119825,16240,3263336,0,"na",23355
"136",2018-06-25,1056811.66666667,0,0,31152.4,39206418.5757693,39747.6970095187,15480,3369140,11270.8282156352,"na",16989
"137",2018-07-02,932326.666666667,43865.84,504304,0,0,31870.3571395949,11800,2839892,0,"na",14653
"138",2018-07-09,1126221.66666667,0,0,34463.7333333333,102710071.745579,43367.5222745631,15560,3555964,24239.4064014475,"na",15143
"139",2018-07-16,1140006.66666667,26567.36,178553.6,0,0,45860.1295919507,15440,3590008,0,"na",9013
"140",2018-07-23,1479303.33333333,29186.68,0,15518,0,47370.3686917201,20760,4606123,0,"na",22477
"141",2018-07-30,1647193.33333333,0,0,0,0,77832.9975726083,23240,5494567,0,"na",8906
"142",2018-08-06,2009478.33333333,39124.48,277723.2,21600.4,0,76885.4765508091,26320,6045317,0,"na",59318
"143",2018-08-13,1523443.33333333,0,0,0,54622076.0975545,0,0,5035305,13352.2511632676,"na",19401.6538461538
"144",2018-08-20,1420118.33333333,184689.36,319296,0,0,0,0,4208615,0,"na",19401.6538461538
"145",2018-08-27,1673551.66666667,0,0,0,43864423.4544594,82233.5245184368,25760,5541654,13525.4195647623,"na",48020
"146",2018-09-03,2061091.66666667,34984.24,204640,2317.33333333333,0,93587.085595727,29200,6397383,0,"na",70855
"147",2018-09-10,2144110,0,0,1608,0,90903.0514674727,31520,7137648,0,"na",46225
"148",2018-09-17,2058653.33333333,0,138361.6,29055.2,41405945.3421831,94015.6888773199,28080,6541298,10208.6833247381,"na",74995
"149",2018-09-24,2208345,2663.8,87960,0,0,96795.503829699,32680,7283453,0,"na",1047
"150",2018-10-01,2603008.33333333,470110.32,78681.6,8095.33333333332,11394121.8209777,106126.994738053,37040,7884994,2750.53460652988,"na",34469
"151",2018-10-08,2313193.33333333,0,0,7769.46666666668,20322166.6378081,109267.152263969,34480,7610669,6047.53849432094,"na",22232
"152",2018-10-15,2813106.66666667,133468.56,189321.6,3117.33333333333,35763073.0249146,91340.1751276106,38280,8364119,7327.75989869177,"na",49409
"153",2018-10-22,2665110,0,0,0,0,97560.5653738603,40480,8898789,0,"na",49575
"154",2018-10-29,2947875,75869.92,0,6384.4,91549168.7893118,122740.647742513,41400,8887808,23795.4284762006,"na",42276
"155",2018-11-05,2768941.66666667,0,436176,4366.53333333332,0,118564.717831719,42160,8982377,0,"na",25332
"156",2018-11-12,2666240,172052.76,0,0,117062263.807058,0,0,7958631,26185.4245872038,"na",19401.6538461538
"157",2018-11-19,2559550,0,141160,0,0,0,0,8467716,0,"na",19401.6538461538
"158",2018-11-26,2653766.66666667,160575.6,0,45388.4,65751650.8720504,156564.384643268,48000,7536793,21010.7853205335,"na",301
"159",2018-12-03,2144703.33333333,0,160676.8,0,0,114123.514524079,41960,7097277,0,"na",34832
"160",2018-12-10,2451681.66666667,0,0,18848,0,151823.007320345,47320,7989344,0,"na",68792
"161",2018-12-17,2469486.66666667,0,46091.2,0,0,114071.928355144,46640,8215719,0,"na",37199
"162",2018-12-24,3208150,474139.72,0,22355.8666666667,96601553.4034517,150402.982508403,51440,8125604,27204.0222180001,"na",80865
"163",2018-12-31,2746851.66666667,154139.72,0,0,0,104634.475661954,43480,7314043,0,"na",54011
"164",2019-01-07,2566165,0,988.8,2710.8,19817822.402767,121001.5988881,51080,8498273,4427.44433338182,"na",96236
"165",2019-01-14,2554828.33333333,34751.92,0,2205.33333333333,0,111908.358826267,48880,8027598,0,"na",80627
"166",2019-01-21,1959706.66666667,0,81825.6,8760.66666666668,31145830.8214119,117177.888404019,41440,6399576,8584.50660816449,"na",629
"167",2019-01-28,2424486.66666667,95029.2,0,0,0,118231.102502625,45600,7415825,0,"na",19984
"168",2019-02-04,1953060,0,0,12816.1333333333,0,141999.14495789,41760,6396016,0,"na",55736
"169",2019-02-11,2086935,38168.52,0,3575.73333333333,24004461.6457822,0,0,6492811,6330.93589794594,"na",19401.6538461538
"170",2019-02-18,1675816.66666667,0,0,1505.06666666667,0,0,0,5588194,0,"na",19401.6538461538
"171",2019-02-25,1976413.33333333,54362.88,92649.6,1937.46666666667,1532956.80029679,88530.3940853686,36560,6078682,0,"na",46243
"172",2019-03-04,1480760,0,0,0,0,74092.1597032109,29840,4933396,0,"na",36979
"173",2019-03-11,1425500,16470.96,0,0,0,82059.7834656947,27120,4597321,0,"na",23990
"174",2019-03-18,1156860,0,0,0,83179409.7629757,55251.9175169058,21480,3818999,18362.2273526816,"na",16046
"175",2019-03-25,1252230,10450.16,17296,0,0,70906.0407303274,23920,4083211,0,"na",28980
"176",2019-04-01,1209373.33333333,0,0,0,35494120.2503475,73888.3865262265,23640,4017170,9925.96634705213,"na",7453
"177",2019-04-08,1183801.66666667,143669.44,6171.2,0,0,67424.7476038523,22360,3588301,0,"na",37507
"178",2019-04-15,918593.333333333,0,0,8988.66666666668,0,65246.2457488291,19200,3026520,0,"na",43718
"179",2019-04-22,2303595,14635.2,0,0,19361443.7325485,51481.4598927391,18800,3140648,4790.79178484821,"event2",1167
"180",2019-04-29,890675,0,0,37397.7333333333,31687579.0119844,55800.883550942,16880,2828444,7539.3723657443,"na",1546
"181",2019-05-06,989913.333333334,11087.68,0,0,0,56108.4685251117,21840,3221944,0,"na",34861
"182",2019-05-13,915791.666666667,0,0,6371.2,65207240.8248195,0,0,2992910,19365.1751868791,"na",19401.6538461538
"183",2019-05-20,746205,87721.16,17307.2,11368.6666666667,0,0,0,2251073,0,"na",19401.6538461538
"184",2019-05-27,723785,0,11003.2,0,0,40124.0952768712,15640,2412562,0,"na",21000
"185",2019-06-03,903125,0,0,4175.73333333332,0,54839.6903624525,18600,2989592,0,"na",19903
"186",2019-06-10,672250,0,0,0,3909308.61749337,30502.6915288298,12440,2240235,148.585815504597,"na",8031
"187",2019-06-17,739783.333333334,0,0,0,0,36154.6542802826,14440,2467712,0,"na",20173
"188",2019-06-24,831833.333333334,18481.44,0,0,0,48423.8619139418,14800,2672133,0,"na",26938
"189",2019-07-01,939896.666666667,0,0,0,0,48153.03818963,19160,3132194,0,"na",8713
"190",2019-07-08,946510,15811.08,0,0,0,45335.2228242904,18400,3060018,0,"na",17384
"191",2019-07-15,1063913.33333333,0,199395.2,0,0,76716.4668024285,23160,3505139,0,"na",4153
"192",2019-07-22,1278223.33333333,36148.52,0,0,29956231.0561007,77347.9166491889,25560,4004072,8580.42405253004,"na",25861
"193",2019-07-29,1500828.33333333,0,115297.6,0,0,75327.0770969219,28560,4982078,0,"na",1820
"194",2019-08-05,1843118.33333333,39029.92,0,0,178298272.914578,104317.933903763,32440,5672763,46201.1742240227,"na",40473
"195",2019-08-12,1443773.33333333,0,101840,0,0,0,0,4783227,0,"na",19401.6538461538
"196",2019-08-19,1397435,0,0,9660.8,98316054.5946602,0,0,4520254,29234.7534331714,"na",19401.6538461538
"197",2019-08-26,1930413.33333333,0,115566.4,0,0,113575.402136485,38960,6397749,0,"na",48083
"198",2019-09-02,2106968.33333333,679.24,0,41193.4666666668,40745397.7592359,117697.775200114,38400,6637702,12113.8759541499,"na",34061
"199",2019-09-09,2233758.33333333,147803.4,12734.4,0,0,137929.668313847,41280,6774864,0,"na",31325
"200",2019-09-16,2575148.33333333,0,34385.6,43812.9333333332,18984811.7007357,155722.986344923,48280,8116568,3992.65215831248,"na",70417
"201",2019-09-23,2510951.66666667,83450.84,0,0,0,145612.54134248,46280,7702931,0,"na",50905
"202",2019-09-30,2275620,0,94366.4,58826.8,0,129677.555932966,44040,7060116,0,"na",79428
"203",2019-10-07,2505161.66666667,57791.84,0,0,141452747.101691,127530.226540496,46040,7603752,41579.3810328513,"na",58284
"204",2019-10-14,2456240,0,96692.8,61489.4666666668,0,152840.323412162,44840,7612762,0,"na",28157
"205",2019-10-21,2182825,61967.04,0,0,56881962.2352079,103680.047820637,41480,6701667,13362.4575523537,"na",10644
"206",2019-10-28,2377706.66666667,8793,22550.4,6990.4,0,138387.704137643,45880,7688920,0,"na",9597
"207",2019-11-04,2732825,8981.2,0,9620.53333333332,0,151707.990462205,53640,8815710,0,"na",90189
"208",2019-11-11,2767788.33333333,0,0,0,127981119.765239,0,0,9067759,36619.0759369898,"na",19401.6538461538
