"DATE","revenue","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","search_S","competitor_sales_B","facebook_S","events","newsletter"
2016-07-18,1242656.66666667,1900.41333333333,319643.2,4780.66666666667,11243290.9562371,4215.5367592699,1426.66666666667,3824504,3552.81495682237,"na",6348
2016-07-25,1293483.33333333,0,0,0,0,6289.94462433427,1946.66666666667,4307032,0,"na",13762
2016-08-01,1484843.33333333,28180.2533333333,164217.066666667,0,17868520.4627035,6851.71836762067,2280,4396674,5102.03141577443,"na",11841
2016-08-08,1485698.33333333,0,0,807.777777777777,0,7304.35211159833,2533.33333333333,4941143,0,"na",17162
2016-08-15,1556608.33333333,28630.68,0,0,5124647.2077109,0,0,4762083,1011.87769166753,"na",19401.6538461538
2016-08-22,1391206.66666667,0,0,13979.7333333333,3888055.5115468,0,0,4409483,641.83938513355,"na",19401.6538461538
2016-08-29,2018783.33333333,23991.16,159645.866666667,0,0,9151.1797858402,3080,6065021,0,"na",2453
2016-09-05,2170721.66666667,21261.84,87810.1333333333,3081.37777777777,1293290.1215575,7270.37566183133,3173.33333333333,6512777,62.7969109801743,"na",3186
2016-09-12,2247670,0,160115.733333333,0,0,10132.1663115445,3333.33333333333,7311071,0,"na",11247
2016-09-19,2192026.66666667,0,32694.4,25536.6222222223,18188032.7873266,10565.8935356575,3400,6652807,4537.61809931117,"na",15280
2016-09-26,1895213.33333333,0,162375.466666667,0,0,7473.37271653427,2973.33333333333,6168548,0,"na",2886
2016-10-03,2232910,144536.64,121869.866666667,9813.15555555556,14226512.314223,9646.7091261875,3373.33333333333,6395275,3147.16769281009,"na",14067
2016-10-10,2406035,0,0,10723.7777777778,15350219.0573247,12546.8289279689,3986.66666666667,7711902,3614.16669566233,"na",24098
2016-10-17,2252445,81389.3466666667,29795.7333333333,0,20472630.806976,12235.0207003765,3720,6734048,5324.417293529,"na",26550
2016-10-24,2663125,0,158912.533333333,9360.97777777777,21314180.0870472,10533.1317810342,4080,8356638,5865.92293671003,"na",17728
2016-10-31,2974771.66666667,93994.7866666667,0,0,23921863.9786815,11553.3079938187,4893.33333333333,8937615,6407.42857989107,"na",13989
2016-11-07,2826128.33333333,0,142602.133333333,11543.8222222222,21344437.122308,14074.6642317623,4160,8832206,6954.9446522006,"na",29426
2016-11-14,3182900,52324.3866666667,0,0,17399857.3868399,0,0,9584624,5332.015383182,"na",19401.6538461538
2016-11-21,2964696.66666667,6957.05333333333,145018.133333333,7293.06666666667,26828516.6308749,0,0,9029457,6682.09385063127,"na",19401.6538461538
2016-11-28,2848525,0,0,4142.93333333333,17912251.1658841,24651.9854412569,9533.33333333333,9334174,4731.87970491727,"na",27941
2016-12-05,2740160,14254.4,239080.533333333,0,7156642.01074513,21707.9959767754,8400,8234498,1656.46786461852,"na",51273
2016-12-12,2380508.33333333,0,0,0,9824311.5340606,17589.6202046075,7346.66666666667,7904539,3030.36123993544,"na",19606
2016-12-19,2230915,0,334920,0,4707374.89663063,15895.5947568563,6893.33333333333,7127441,1011.87769166753,"na",4453
2016-12-26,3659425,107721.013333333,0,0,22845683.1663427,25949.8619985573,7733.33333333333,7730351,7226.54800621497,"na",559
2017-01-02,2827008.33333333,41054.3466666667,453696,27998.1333333333,19390380.0700646,19393.2805096731,7373.33333333333,7498330,4281.21092460283,"na",46507
2017-01-09,2042143.33333333,0,0,0,19557226.0099221,21071.32173758,7080,6815506,5472.97695689383,"na",21771
2017-01-16,2113358.33333333,5913.29333333333,0,1535.64444444444,18679824.8726728,20637.544698338,6706.66666666667,6701008,5987.71917980457,"na",35351
2017-01-23,2179918.33333333,0,0,10780.9777777778,28919354.1479856,20461.4578462089,7000,6998027,6502.4614027153,"na",13998
2017-01-30,2370613.33333333,40244.96,0,0,20018223.3112693,22707.7042912288,7226.66666666667,7097324,4280.64390298693,"na",27415
2017-02-06,1814556.66666667,0,0,0,0,14867.5892962259,5586.66666666667,6048680,0,"na",4085
2017-02-13,1951668.33333333,0,127723.733333333,0,29401726.1744863,0,0,6290401,8260.4552206404,"na",19401.6538461538
2017-02-20,1918238.33333333,0,0,10691.0222222222,0,0,0,6137639,0,"na",19401.6538461538
2017-02-27,1472390,0,0,0,47563966.0789477,12513.0683056195,4506.66666666667,4802056,13900.6192339616,"na",26556
2017-03-06,1477865,0,0,14027.7777777777,0,15487.6644036965,4666.66666666667,4688746,0,"na",12272
2017-03-13,1300166.66666667,10360.88,0,0,0,13732.6730681545,4213.33333333333,4119318,0,"na",25992
2017-03-20,1160205,0,0,19853.8222222223,0,9934.77283917213,3773.33333333333,3618373,0,"na",22696
2017-03-27,1356871.66666667,0,24476.2666666667,0,10382426.8065952,15300.7433088264,4800,4476843,2615.86843871519,"na",26404
2017-04-03,1355833.33333333,0,0,0,0,10658.6001230986,4560,4523389,0,"na",1245
2017-04-10,1176266.66666667,0,500361.6,0,0,8488.54955499217,3666.66666666667,3711150,0,"na",1126
2017-04-17,1955281.66666667,7469.05333333333,0,0,0,9083.8344655543,3546.66666666667,3057885,0,"na",11966
2017-04-24,1029928.33333333,0,296154.666666667,0,0,8713.82047149043,3266.66666666667,3309344,0,"na",17897
2017-05-01,2263143.33333333,36622.92,0,0,0,7393.34608460777,2600,2826863,0,"na",6052
2017-05-08,813771.666666667,0,306346.133333333,0,0,6175.20525562577,2680,2604828,0,"na",9055
2017-05-15,880871.666666667,0,0,0,0,0,0,2940496,0,"na",19401.6538461538
2017-05-22,919185,0,41006.4,0,15447367.0115415,0,0,3024982,3978.53478603737,"na",19401.6538461538
2017-05-29,826321.666666667,0,0,7174.71111111111,0,6193.3643033728,2173.33333333333,2681061,0,"na",5778
2017-06-05,833798.333333333,9125.46666666667,42486.9333333333,0,12831813.9734491,6252.9041434871,2680,2609725,3092.05319174496,"na",1988
2017-06-12,746271.666666667,0,0,0,0,7354.08765490477,2226.66666666667,2487079,0,"na",4794
2017-06-19,1036406.66666667,36259.68,0,0,1096202.75660569,8925.86752558127,3173.33333333333,3149223,31.2705091363358,"na",5180
2017-06-26,927931.666666667,0,158632,4659.42222222223,0,6929.78193955497,2666.66666666667,2963072,0,"na",1048
2017-07-03,1126943.33333333,4560.76,0,9573.06666666667,25039209.3945516,12648.1549625052,3786.66666666667,3485135,6650.1138314947,"na",10977
2017-07-10,1184220,0,0,0,0,11853.19284099,3720,3950566,0,"na",6813
2017-07-17,1315508.33333333,9863.8,108181.333333333,24957.5111111111,0,11018.8391341867,3853.33333333333,3800790,0,"na",2361
2017-07-24,1279360,0,0,0,0,11562.270481512,3866.66666666667,4264348,0,"na",15114
2017-07-31,1455811.66666667,11384.92,205440,1452.44444444444,0,12679.5185106457,4533.33333333333,4429446,0,"na",10044
2017-08-07,1553355,0,104866.133333333,9467.24444444444,0,17892.0630017334,5360,4916984,0,"na",8930
2017-08-14,1374855,34047.0533333333,0,0,0,0,0,4198833,0,"na",19401.6538461538
2017-08-21,1970110,0,0,11348.1777777778,6440827.7377115,0,0,6276021,1342.67810238147,"na",19401.6538461538
2017-08-28,2336431.66666667,117889.12,0,0,4742349.4953119,23445.0249066227,7000,7010039,898.926985780967,"na",33712
2017-09-04,2002065,0,0,0,0,14936.6081894453,6493.33333333333,6679241,0,"na",20000
2017-09-11,2027418.33333333,48869.2666666667,150164.8,4610.35555555556,2703620.81107497,15666.469342832,5586.66666666667,5890204,621.76681993082,"na",2265
2017-09-18,1886570,0,0,0,0,18388.7564755976,6440,6289814,0,"na",15924
2017-09-25,2529721.66666667,83663.84,144563.733333333,0,10559520.827648,24332.8536359244,7640,7410667,2529.00072715986,"na",24336
2017-10-02,2357930,111304.453333333,58363.2,0,0,23226.6112532117,7346.66666666667,7799073,0,"na",29510
2017-10-09,3003391.66666667,44637.7866666667,327236.266666667,18504.9333333333,19360866.7614647,18431.1192651512,8013.33333333333,8147766,5348.57241436617,"na",15458
2017-10-16,2283685,0,0,0,14937395.7677684,24254.9436575539,7586.66666666667,7617066,4190.37406173623,"na",43966
2017-10-23,2584721.66666667,44360.5066666667,46091.2,0,21426849.002827,23115.8437246922,7920,7756047,4731.87970491727,"na",35016
2017-10-30,2565400,4645.22666666667,0,0,22344988.1413883,24376.7103916034,8466.66666666667,8307903,5273.3853480983,"na",4749
2017-11-06,3407085,21149.0133333333,318524.266666667,23039.9111111111,13314676.7886875,26330.239038604,9826.66666666667,9283504,3552.81495682237,"na",25943
2017-11-13,2803291.66666667,0,0,0,31890945.1695597,0,0,9355428,7600.1018467675,"na",19401.6538461538
2017-11-20,3303155,55227.3333333333,105305.066666667,1346.08888888889,12195879.3518245,0,0,9662004,3279.96415525302,"na",19401.6538461538
2017-11-27,3103743.33333333,0,0,9601.77777777777,11842611.303909,36905.9678991637,15013.3333333333,9984742,2463.79324133178,"na",41469
2017-12-04,2793875,28923.5466666667,87842.1333333333,0,7493271.20796543,30409.8062367799,12733.3333333333,8430013,1656.46786461852,"na",16136
2017-12-11,2260396.66666667,0,0,0,10472084.5748901,27236.329063323,11120,7544173,3030.36123993544,"na",37784
2017-12-18,2399176.66666667,63749.0533333333,91841.6,0,4846725.42831303,32468.9839755883,11666.6666666667,7267249,1011.87769166753,"na",43251
2017-12-25,3827520,90415.72,0,15034.4444444444,23016416.0721514,30009.8933476373,10080,6834014,7226.54800621497,"na",57523
2018-01-01,3109461.66666667,0,0,5291.68888888889,14403508.9745594,33305.9585773386,10653.3333333333,6891431,4281.21092460283,"na",77617
2018-01-08,2228128.33333333,0,3947.2,0,22268248.093474,33849.8109116647,10840,7355344,5472.97695689383,"na",74527
2018-01-15,2202593.33333333,39089.24,0,15480.6666666667,0,31966.3239607471,10080,6360391,0,"na",10394
2018-01-22,1918293.33333333,0,56811.2,19347.4222222223,0,22464.5871201724,9226.66666666667,5937052,0,"na",9740
2018-01-29,1862458.33333333,25169.2,0,0,0,25438.5119843879,8960,5721235,0,"na",13533
2018-02-05,1975951.66666667,0,0,4746.8,2966401.34773465,32276.283774587,10613.3333333333,6467565,472.98034791961,"na",56102
2018-02-12,1827318.33333333,9165.21333333333,54185.6,0,0,0,0,5749120,0,"na",19401.6538461538
2018-02-19,1656268.33333333,0,0,6311.42222222223,0,0,0,5389739,0,"na",19401.6538461538
2018-02-26,1703790,12356.1066666667,56171.2,10002.8,0,25169.620752354,7413.33333333333,5114017,0,"na",19325
2018-03-05,1488115,0,0,0,0,22794.6813986792,7360,4961257,0,"na",18078
2018-03-12,1727330,53120.2533333333,90604.2666666667,20486.8,0,18269.5785913151,7080,4823884,0,"na",8711
2018-03-19,1208246.66666667,0,0,0,0,17809.8977351639,5960,4036244,0,"na",12979
2018-03-26,1388960,19743.84,81915.2,2989.15555555556,0,14740.790069662,6333.33333333333,4191403,0,"na",23910
2018-04-02,2408331.66666667,0,0,0,0,18466.6799358092,5520,3583995,0,"na",10567
2018-04-09,1131721.66666667,0,11257.6,0,0,18498.1205239543,5973.33333333333,3771321,0,"na",41329
2018-04-16,950015,0,0,0,7003770.76001093,16808.5217532585,4973.33333333333,3167512,2113.26047838464,"na",21616
2018-04-23,801298.333333333,0,158353.6,0,0,12274.6903112624,3693.33333333333,2604407,0,"na",2529
2018-04-30,779838.333333334,0,0,0,48661981.684228,9551.54238995163,3173.33333333333,2549137,12800.5972991227,"na",6836
2018-05-07,889546.666666667,0,59674.1333333333,0,0,15194.0923128355,4720,2937422,0,"na",330
2018-05-14,862850,0,0,6803.64444444444,48377013.2836087,0,0,2752045,13040.4474426468,"na",19401.6538461538
2018-05-21,2601601.66666667,947.106666666667,26288.5333333333,0,0,0,0,3080867,0,"event1",19401.6538461538
2018-05-28,905008.333333334,0,0,4205.42222222223,4956890.74600197,12663.5104559052,4640,2957153,1009.04258358804,"na",28568
2018-06-04,910551.666666667,0,0,0,0,16079.2886873397,4720,3035519,0,"na",26708
2018-06-11,923853.333333333,8314.68,0,5424.66666666667,0,10628.7399063469,4533.33333333333,2885659,0,"na",7675
2018-06-18,982420,0,17462.9333333333,0,0,16028.6312039942,5413.33333333333,3263336,0,"na",23355
2018-06-25,1056811.66666667,0,0,10384.1333333333,13068806.1919231,13249.2323365062,5160,3369140,3756.94273854507,"na",16989
2018-07-02,932326.666666667,14621.9466666667,168101.333333333,0,0,10623.452379865,3933.33333333333,2839892,0,"na",14653
2018-07-09,1126221.66666667,0,0,11487.9111111111,34236690.5818597,14455.8407581877,5186.66666666667,3555964,8079.80213381583,"na",15143
2018-07-16,1140006.66666667,8855.78666666667,59517.8666666667,0,0,15286.7098639836,5146.66666666667,3590008,0,"na",9013
2018-07-23,1479303.33333333,9728.89333333333,0,5172.66666666667,0,15790.12289724,6920,4606123,0,"na",22477
2018-07-30,1647193.33333333,0,0,0,0,25944.3325242028,7746.66666666667,5494567,0,"na",8906
2018-08-06,2009478.33333333,13041.4933333333,92574.4,7200.13333333333,0,25628.492183603,8773.33333333333,6045317,0,"na",59318
2018-08-13,1523443.33333333,0,0,0,18207358.6991848,0,0,5035305,4450.75038775587,"na",19401.6538461538
2018-08-20,1420118.33333333,61563.12,106432,0,0,0,0,4208615,0,"na",19401.6538461538
2018-08-27,1673551.66666667,0,0,0,14621474.4848198,27411.1748394789,8586.66666666667,5541654,4508.4731882541,"na",48020
2018-09-03,2061091.66666667,11661.4133333333,68213.3333333333,772.444444444444,0,31195.6951985757,9733.33333333333,6397383,0,"na",70855
2018-09-10,2144110,0,0,536,0,30301.0171558242,10506.6666666667,7137648,0,"na",46225
2018-09-17,2058653.33333333,0,46120.5333333333,9685.06666666667,13801981.7807277,31338.5629591066,9360,6541298,3402.89444157937,"na",74995
2018-09-24,2208345,887.933333333333,29320,0,0,32265.167943233,10893.3333333333,7283453,0,"na",1047
2018-10-01,2603008.33333333,156703.44,26227.2,2698.44444444444,3798040.60699257,35375.6649126843,12346.6666666667,7884994,916.844868843293,"na",34469
2018-10-08,2313193.33333333,0,0,2589.82222222223,6774055.54593603,36422.3840879897,11493.3333333333,7610669,2015.84616477365,"na",22232
2018-10-15,2813106.66666667,44489.52,63107.2,1039.11111111111,11921024.3416382,30446.7250425369,12760,8364119,2442.58663289726,"na",49409
2018-10-22,2665110,0,0,0,0,32520.1884579534,13493.3333333333,8898789,0,"na",49575
2018-10-29,2947875,25289.9733333333,0,2128.13333333333,30516389.5964373,40913.5492475043,13800,8887808,7931.80949206687,"na",42276
2018-11-05,2768941.66666667,0,145392,1455.51111111111,0,39521.572610573,14053.3333333333,8982377,0,"na",25332
2018-11-12,2666240,57350.92,0,0,39020754.6023527,0,0,7958631,8728.47486240127,"na",19401.6538461538
2018-11-19,2559550,0,47053.3333333333,0,0,0,0,8467716,0,"na",19401.6538461538
2018-11-26,2653766.66666667,53525.2,0,15129.4666666667,21917216.9573501,52188.1282144227,16000,7536793,7003.5951068445,"na",301
2018-12-03,2144703.33333333,0,53558.9333333333,0,0,38041.1715080263,13986.6666666667,7097277,0,"na",34832
2018-12-10,2451681.66666667,0,0,6282.66666666667,0,50607.6691067817,15773.3333333333,7989344,0,"na",68792
2018-12-17,2469486.66666667,0,15363.7333333333,0,0,38023.9761183813,15546.6666666667,8215719,0,"na",37199
2018-12-24,3208150,158046.573333333,0,7451.95555555556,32200517.8011506,50134.327502801,17146.6666666667,8125604,9068.00740600003,"na",80865
2018-12-31,2746851.66666667,51379.9066666667,0,0,0,34878.1585539847,14493.3333333333,7314043,0,"na",54011
2019-01-07,2566165,0,329.6,903.6,6605940.80092233,40333.8662960333,17026.6666666667,8498273,1475.81477779394,"na",96236
2019-01-14,2554828.33333333,11583.9733333333,0,735.111111111111,0,37302.7862754223,16293.3333333333,8027598,0,"na",80627
2019-01-21,1959706.66666667,0,27275.2,2920.22222222223,10381943.6071373,39059.296134673,13813.3333333333,6399576,2861.5022027215,"na",629
2019-01-28,2424486.66666667,31676.4,0,0,0,39410.367500875,15200,7415825,0,"na",19984
2019-02-04,1953060,0,0,4272.04444444444,0,47333.0483192967,13920,6396016,0,"na",55736
2019-02-11,2086935,12722.84,0,1191.91111111111,8001487.21526073,0,0,6492811,2110.31196598198,"na",19401.6538461538
2019-02-18,1675816.66666667,0,0,501.688888888889,0,0,0,5588194,0,"na",19401.6538461538
2019-02-25,1976413.33333333,18120.96,30883.2,645.822222222223,510985.60009893,29510.1313617895,12186.6666666667,6078682,0,"na",46243
2019-03-04,1480760,0,0,0,0,24697.386567737,9946.66666666667,4933396,0,"na",36979
2019-03-11,1425500,5490.32,0,0,0,27353.2611552316,9040,4597321,0,"na",23990
2019-03-18,1156860,0,0,0,27726469.9209919,18417.3058389686,7160,3818999,6120.74245089387,"na",16046
2019-03-25,1252230,3483.38666666667,5765.33333333333,0,0,23635.3469101091,7973.33333333333,4083211,0,"na",28980
2019-04-01,1209373.33333333,0,0,0,11831373.4167825,24629.4621754088,7880,4017170,3308.65544901738,"na",7453
2019-04-08,1183801.66666667,47889.8133333333,2057.06666666667,0,0,22474.9158679508,7453.33333333333,3588301,0,"na",37507
2019-04-15,918593.333333333,0,0,2996.22222222223,0,21748.748582943,6400,3026520,0,"na",43718
2019-04-22,2303595,4878.4,0,0,6453814.57751617,17160.486630913,6266.66666666667,3140648,1596.9305949494,"event2",1167
2019-04-29,890675,0,0,12465.9111111111,10562526.3373281,18600.2945169807,5626.66666666667,2828444,2513.12412191477,"na",1546
2019-05-06,989913.333333334,3695.89333333333,0,0,0,18702.8228417039,7280,3221944,0,"na",34861
2019-05-13,915791.666666667,0,0,2123.73333333333,21735746.9416065,0,0,2992910,6455.05839562637,"na",19401.6538461538
2019-05-20,746205,29240.3866666667,5769.06666666667,3789.55555555556,0,0,0,2251073,0,"na",19401.6538461538
2019-05-27,723785,0,3667.73333333333,0,0,13374.6984256237,5213.33333333333,2412562,0,"na",21000
2019-06-03,903125,0,0,1391.91111111111,0,18279.8967874842,6200,2989592,0,"na",19903
2019-06-10,672250,0,0,0,1303102.87249779,10167.5638429433,4146.66666666667,2240235,49.528605168199,"na",8031
2019-06-17,739783.333333334,0,0,0,0,12051.5514267609,4813.33333333333,2467712,0,"na",20173
2019-06-24,831833.333333334,6160.48,0,0,0,16141.2873046473,4933.33333333333,2672133,0,"na",26938
2019-07-01,939896.666666667,0,0,0,0,16051.0127298767,6386.66666666667,3132194,0,"na",8713
2019-07-08,946510,5270.36,0,0,0,15111.7409414301,6133.33333333333,3060018,0,"na",17384
2019-07-15,1063913.33333333,0,66465.0666666667,0,0,25572.1556008095,7720,3505139,0,"na",4153
2019-07-22,1278223.33333333,12049.5066666667,0,0,9985410.35203357,25782.638883063,8520,4004072,2860.14135084335,"na",25861
2019-07-29,1500828.33333333,0,38432.5333333333,0,0,25109.025698974,9520,4982078,0,"na",1820
2019-08-05,1843118.33333333,13009.9733333333,0,0,59432757.6381927,34772.6446345877,10813.3333333333,5672763,15400.3914080076,"na",40473
2019-08-12,1443773.33333333,0,33946.6666666667,0,0,0,0,4783227,0,"na",19401.6538461538
2019-08-19,1397435,0,0,3220.26666666667,32772018.1982201,0,0,4520254,9744.91781105713,"na",19401.6538461538
2019-08-26,1930413.33333333,0,38522.1333333333,0,0,37858.4673788283,12986.6666666667,6397749,0,"na",48083
2019-09-02,2106968.33333333,226.413333333333,0,13731.1555555556,13581799.2530786,39232.5917333713,12800,6637702,4037.9586513833,"na",34061
2019-09-09,2233758.33333333,49267.8,4244.8,0,0,45976.5561046157,13760,6774864,0,"na",31325
2019-09-16,2575148.33333333,0,11461.8666666667,14604.3111111111,6328270.5669119,51907.6621149743,16093.3333333333,8116568,1330.88405277083,"na",70417
2019-09-23,2510951.66666667,27816.9466666667,0,0,0,48537.5137808267,15426.6666666667,7702931,0,"na",50905
2019-09-30,2275620,0,31455.4666666667,19608.9333333333,0,43225.8519776553,14680,7060116,0,"na",79428
2019-10-07,2505161.66666667,19263.9466666667,0,0,47150915.7005637,42510.0755134987,15346.6666666667,7603752,13859.7936776171,"na",58284
2019-10-14,2456240,0,32230.9333333333,20496.4888888889,0,50946.7744707207,14946.6666666667,7612762,0,"na",28157
2019-10-21,2182825,20655.68,0,0,18960654.0784026,34560.0159402123,13826.6666666667,6701667,4454.15251745123,"na",10644
2019-10-28,2377706.66666667,2931,7516.8,2330.13333333333,0,46129.2347125477,15293.3333333333,7688920,0,"na",9597
2019-11-04,2732825,2993.73333333333,0,3206.84444444444,0,50569.3301540683,17880,8815710,0,"na",90189
2019-11-11,2767788.33333333,0,0,0,42660373.2550797,0,0,9067759,12206.3586456633,"na",19401.6538461538
