row_num,DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
42,2016-09-05,2170721.66666667,159463.8,164644,23110.3333333333,3879870.3646725,21811.126985494,23800,6512777,1883.90732940523,na,3186.0
43,2016-09-12,2247670.0,0.0,300217,0.0,0.0,30396.4989346336,25000,7311071,0.0,na,11247.0
44,2016-09-19,2192026.66666667,0.0,61302,191524.666666667,5.45640983619797E7,31697.6806069724,25500,6652807,136128.542979335,na,15280.0
45,2016-09-26,1895213.33333333,0.0,304454,0.0,0.0,22420.1181496028,22300,6168548,0.0,na,2886.0
46,2016-10-03,2232910.0,1084024.8,228506,73598.6666666667,4.26795369426691E7,28940.1273785625,25300,6395275,94415.0307843027,na,14067.0
47,2016-10-10,2406035.0,0.0,0,80428.3333333333,4.6050657171974E7,37640.4867839068,29900,7711902,108425.00086987,na,24098.0
48,2016-10-17,2252445.0,610420.1,55867,0.0,6.1417892420928E7,36705.0621011294,27900,6734048,159732.51880587,na,26550.0
49,2016-10-24,2663125.0,0.0,297961,70207.3333333333,6.39425402611415E7,31599.3953431025,30600,8356638,175977.688101301,na,17728.0
50,2016-10-31,2974771.66666667,704960.9,0,0.0,7.17655919360446E7,34659.9239814561,36700,8937615,192222.857396732,na,13989.0
51,2016-11-07,2826128.33333333,0.0,267379,86578.6666666667,6.40333113669239E7,42223.9926952869,31200,8832206,208648.339566018,na,29426.0
52,2016-11-14,3182900.0,392432.9,0,0.0,5.21995721605198E7,0.0,0,9584624,159960.46149546,na,19401.6538461538
53,2016-11-21,2964696.66666667,52177.9,271909,54698.0,8.04855498926248E7,0.0,0,9029457,200462.815518938,na,19401.6538461538
54,2016-11-28,2848525.0,0.0,0,31072.0,5.37367534976524E7,73955.9563237708,71500,9334174,141956.391147518,na,27941.0
55,2016-12-05,2740160.0,106908.0,448276,0.0,2.14699260322354E7,65123.9879303263,63000,8234498,49694.0359385557,na,51273.0
56,2016-12-12,2380508.33333333,0.0,0,0.0,2.94729346021818E7,52768.8606138225,55100,7904539,90910.8371980631,na,19606.0
57,2016-12-19,2230915.0,0.0,627975,0.0,1.41221246898919E7,47686.7842705688,51700,7127441,30356.3307500258,na,4453.0
58,2016-12-26,3659425.0,807907.6,0,0.0,6.8537049499028E7,77849.5859956718,58000,7730351,216796.440186449,na,559.0
59,2017-01-02,2827008.33333333,307907.6,850680,209986.0,5.81711402101937E7,58179.8415290192,55300,7498330,128436.327738085,na,46507.0
60,2017-01-09,2042143.33333333,0.0,0,0.0,5.86716780297663E7,63213.96521274,53100,6815506,164189.308706815,na,21771.0
61,2017-01-16,2113358.33333333,44349.7,0,11517.3333333333,5.60394746180184E7,61912.6340950141,50300,6701008,179631.575394137,na,35351.0
62,2017-01-23,2179918.33333333,0.0,0,80857.3333333333,8.67580624439567E7,61384.3735386268,52500,6998027,195073.842081459,na,13998.0
63,2017-01-30,2370613.33333333,301837.2,0,0.0,6.0054669933808E7,68123.1128736865,54200,7097324,128419.317089608,na,27415.0
64,2017-02-06,1814556.66666667,0.0,0,0.0,0.0,44602.7678886778,41900,6048680,0.0,na,4085.0
65,2017-02-13,1951668.33333333,0.0,239482,0.0,8.8205178523459E7,0.0,0,6290401,247813.656619212,na,19401.6538461538
66,2017-02-20,1918238.33333333,0.0,0,80182.6666666667,0.0,0.0,0,6137639,0.0,na,19401.6538461538
67,2017-02-27,1472390.0,0.0,0,0.0,1.42691898236843E8,37539.2049168586,33800,4802056,417018.577018849,na,26556.0
68,2017-03-06,1477865.0,0.0,0,105208.333333333,0.0,46462.9932110896,35000,4688746,0.0,na,12272.0
69,2017-03-13,1300166.66666667,77706.6,0,0.0,0.0,41198.0192044634,31600,4119318,0.0,na,25992.0
70,2017-03-20,1160205.0,0.0,0,148903.666666667,0.0,29804.3185175164,28300,3618373,0.0,na,22696.0
71,2017-03-27,1356871.66666667,0.0,45893,0.0,3.11472804197855E7,45902.2299264791,36000,4476843,78476.0531614557,na,26404.0
72,2017-04-03,1355833.33333333,0.0,0,0.0,0.0,31975.8003692958,34200,4523389,0.0,na,1245.0
73,2017-04-10,1176266.66666667,0.0,938178,0.0,0.0,25465.6486649765,27500,3711150,0.0,na,1126.0
74,2017-04-17,1955281.66666667,56017.9,0,0.0,0.0,27251.5033966629,26600,3057885,0.0,na,11966.0
75,2017-04-24,1029928.33333333,0.0,555290,0.0,0.0,26141.4614144713,24500,3309344,0.0,na,17897.0
76,2017-05-01,2263143.33333333,274671.9,0,0.0,0.0,22180.0382538233,19500,2826863,0.0,na,6052.0
77,2017-05-08,813771.666666667,0.0,574399,0.0,0.0,18525.6157668773,20100,2604828,0.0,na,9055.0
78,2017-05-15,880871.666666667,0.0,0,0.0,0.0,0.0,0,2940496,0.0,na,19401.6538461538
79,2017-05-22,919185.0,0.0,76887,0.0,4.63421010346245E7,0.0,0,3024982,119356.043581121,na,19401.6538461538
80,2017-05-29,826321.666666667,0.0,0,53810.3333333333,0.0,18580.0929101184,16300,2681061,0.0,na,5778.0
81,2017-06-05,833798.333333333,68441.0,79663,0.0,3.84954419203474E7,18758.7124304613,20100,2609725,92761.5957523489,na,1988.0
82,2017-06-12,746271.666666667,0.0,0,0.0,0.0,22062.2629647143,16700,2487079,0.0,na,4794.0
83,2017-06-19,1036406.66666667,271947.6,0,0.0,3288608.26981708,26777.6025767438,23800,3149223,938.115274090074,na,5180.0
84,2017-06-26,927931.666666667,0.0,297435,34945.6666666667,0.0,20789.3458186649,20000,2963072,0.0,na,1048.0
85,2017-07-03,1126943.33333333,34205.7,0,71798.0,7.51176281836547E7,37944.4648875156,28400,3485135,199503.414944841,na,10977.0
86,2017-07-10,1184220.0,0.0,0,0.0,0.0,35559.57852297,27900,3950566,0.0,na,6813.0
87,2017-07-17,1315508.33333333,73978.5,202840,187181.333333333,0.0,33056.51740256,28900,3800790,0.0,na,2361.0
88,2017-07-24,1279360.0,0.0,0,0.0,0.0,34686.8114445359,29000,4264348,0.0,na,15114.0
89,2017-07-31,1455811.66666667,85386.9,385200,10893.3333333333,0.0,38038.5555319372,34000,4429446,0.0,na,10044.0
90,2017-08-07,1553355.0,0.0,196624,71004.3333333333,0.0,53676.1890052003,40200,4916984,0.0,na,8930.0
91,2017-08-14,1374855.0,255352.9,0,0.0,0.0,0.0,0,4198833,0.0,na,19401.6538461538
92,2017-08-21,1970110.0,0.0,0,85111.3333333333,1.93224832131345E7,0.0,0,6276021,40280.3430714441,na,19401.6538461538
93,2017-08-28,2336431.66666667,884168.4,0,0.0,1.42270484859357E7,70335.0747198681,52500,7010039,26967.809573429,na,33712.0
94,2017-09-04,2002065.0,0.0,0,0.0,0.0,44809.8245683359,48700,6679241,0.0,na,20000.0
95,2017-09-11,2027418.33333333,366519.5,281559,34577.6666666667,8110862.43322492,46999.408028496,41900,5890204,18653.0045979246,na,2265.0
96,2017-09-18,1886570.0,0.0,0,0.0,0.0,55166.2694267929,48300,6289814,0.0,na,15924.0
97,2017-09-25,2529721.66666667,627478.8,271057,0.0,3.1678562482944E7,72998.5609077732,57300,7410667,75870.0218147959,na,24336.0
98,2017-10-02,2357930.0,834783.4,109431,0.0,0.0,69679.8337596352,55100,7799073,0.0,na,29510.0
99,2017-10-09,3003391.66666667,334783.4,613568,138787.0,5.8082600284394E7,55293.3577954536,60100,8147766,160457.172430985,na,15458.0
100,2017-10-16,2283685.0,0.0,0,0.0,4.48121873033051E7,72764.8309726617,56900,7617066,125711.221852087,na,43966.0
101,2017-10-23,2584721.66666667,332703.8,86421,0.0,6.42805470084809E7,69347.5311740767,59400,7756047,141956.391147518,na,35016.0
102,2017-10-30,2565400.0,34839.2,0,0.0,6.7034964424165E7,73130.1311748102,63500,8307903,158201.560442949,na,4749.0
103,2017-11-06,3407085.0,158617.6,597233,172799.333333333,3.99440303660624E7,78990.717115812,73700,9283504,106584.448704671,na,25943.0
104,2017-11-13,2803291.66666667,0.0,0,0.0,9.5672835508679E7,0.0,0,9355428,228003.055403025,na,19401.6538461538
105,2017-11-20,3303155.0,414205.0,197447,10095.6666666667,3.65876380554736E7,0.0,0,9662004,98398.9246575906,na,19401.6538461538
106,2017-11-27,3103743.33333333,0.0,0,72013.3333333333,3.5527833911727E7,110717.903697491,112600,9984742,73913.7972399534,na,41469.0
107,2017-12-04,2793875.0,216926.6,164704,0.0,2.24798136238963E7,91229.4187103398,95500,8430013,49694.0359385557,na,16136.0
108,2017-12-11,2260396.66666667,0.0,0,0.0,3.14162537246704E7,81708.9871899691,83400,7544173,90910.8371980631,na,37784.0
109,2017-12-18,2399176.66666667,478117.9,172203,0.0,1.45401762849391E7,97406.951926765,87500,7267249,30356.3307500258,na,43251.0
110,2017-12-25,3827520.0,678117.9,0,112758.333333333,6.90492482164542E7,90029.6800429118,75600,6834014,216796.440186449,na,57523.0
111,2018-01-01,3109461.66666667,0.0,0,39687.6666666667,4.32105269236781E7,99917.8757320158,79900,6891431,128436.327738085,na,77617.0
112,2018-01-08,2228128.33333333,0.0,7401,0.0,6.68047442804219E7,101549.432734994,81300,7355344,164189.308706815,na,74527.0
113,2018-01-15,2202593.33333333,293169.3,0,116105.0,0.0,95898.9718822413,75600,6360391,0.0,na,10394.0
114,2018-01-22,1918293.33333333,0.0,106521,145105.666666667,0.0,67393.7613605172,69200,5937052,0.0,na,9740.0
115,2018-01-29,1862458.33333333,188769.0,0,0.0,0.0,76315.5359531636,67200,5721235,0.0,na,13533.0
116,2018-02-05,1975951.66666667,0.0,0,35601.0,8899204.04320396,96828.8513237611,79600,6467565,14189.4104375883,na,56102.0
117,2018-02-12,1827318.33333333,68739.1,101598,0.0,0.0,0.0,0,5749120,0.0,na,19401.6538461538
118,2018-02-19,1656268.33333333,0.0,0,47335.6666666667,0.0,0.0,0,5389739,0.0,na,19401.6538461538
119,2018-02-26,1703790.0,92670.8,105321,75021.0,0.0,75508.862257062,55600,5114017,0.0,na,19325.0
120,2018-03-05,1488115.0,0.0,0,0.0,0.0,68384.0441960376,55200,4961257,0.0,na,18078.0
121,2018-03-12,1727330.0,398401.9,169883,153651.0,0.0,54808.7357739452,53100,4823884,0.0,na,8711.0
122,2018-03-19,1208246.66666667,0.0,0,0.0,0.0,53429.6932054916,44700,4036244,0.0,na,12979.0
123,2018-03-26,1388960.0,148078.8,153591,22418.6666666667,0.0,44222.3702089861,47500,4191403,0.0,na,23910.0
124,2018-04-02,2408331.66666667,0.0,0,0.0,0.0,55400.0398074277,41400,3583995,0.0,na,10567.0
125,2018-04-09,1131721.66666667,0.0,21108,0.0,0.0,55494.3615718628,44800,3771321,0.0,na,41329.0
126,2018-04-16,950015.0,0.0,0,0.0,2.10113122800328E7,50425.5652597756,37300,3167512,63397.8143515393,na,21616.0
127,2018-04-23,801298.333333333,0.0,296913,0.0,0.0,36824.0709337872,27700,2604407,0.0,na,2529.0
128,2018-04-30,779838.333333334,0.0,0,0.0,1.45985945052684E8,28654.6271698549,23800,2549137,384017.91897368,na,6836.0
129,2018-05-07,889546.666666667,0.0,111889,0.0,0.0,45582.2769385064,35400,2937422,0.0,na,330.0
130,2018-05-14,862850.0,0.0,0,51027.3333333333,1.45131039850826E8,0.0,0,2752045,391213.423279405,na,19401.6538461538
131,2018-05-21,2601601.66666667,7103.3,49291,0.0,0.0,0.0,0,3080867,0.0,event1,19401.6538461538
132,2018-05-28,905008.333333334,0.0,0,31540.6666666667,1.48706722380059E7,37990.5313677155,34800,2957153,30271.2775076413,na,28568.0
133,2018-06-04,910551.666666667,0.0,0,0.0,0.0,48237.866062019,35400,3035519,0.0,na,26708.0
134,2018-06-11,923853.333333333,62360.1,0,40685.0,0.0,31886.2197190407,34000,2885659,0.0,na,7675.0
135,2018-06-18,982420.0,0.0,32743,0.0,0.0,48085.8936119825,40600,3263336,0.0,na,23355.0
136,2018-06-25,1056811.66666667,0.0,0,77881.0,3.92064185757693E7,39747.6970095187,38700,3369140,112708.282156352,na,16989.0
137,2018-07-02,932326.666666667,109664.6,315190,0.0,0.0,31870.3571395949,29500,2839892,0.0,na,14653.0
138,2018-07-09,1126221.66666667,0.0,0,86159.3333333333,1.02710071745579E8,43367.5222745631,38900,3555964,242394.064014475,na,15143.0
139,2018-07-16,1140006.66666667,66418.4,111596,0.0,0.0,45860.1295919507,38600,3590008,0.0,na,9013.0
140,2018-07-23,1479303.33333333,72966.7,0,38795.0,0.0,47370.3686917201,51900,4606123,0.0,na,22477.0
141,2018-07-30,1647193.33333333,0.0,0,0.0,0.0,77832.9975726083,58100,5494567,0.0,na,8906.0
142,2018-08-06,2009478.33333333,97811.2,173577,54001.0,0.0,76885.4765508091,65800,6045317,0.0,na,59318.0
143,2018-08-13,1523443.33333333,0.0,0,0.0,5.46220760975545E7,0.0,0,5035305,133522.511632676,na,19401.6538461538
144,2018-08-20,1420118.33333333,461723.4,199560,0.0,0.0,0.0,0,4208615,0.0,na,19401.6538461538
145,2018-08-27,1673551.66666667,0.0,0,0.0,4.38644234544594E7,82233.5245184368,64400,5541654,135254.195647623,na,48020.0
146,2018-09-03,2061091.66666667,87460.6,127900,5793.33333333333,0.0,93587.085595727,73000,6397383,0.0,na,70855.0
147,2018-09-10,2144110.0,0.0,0,4020.0,0.0,90903.0514674727,78800,7137648,0.0,na,46225.0
148,2018-09-17,2058653.33333333,0.0,86476,72638.0,4.14059453421831E7,94015.6888773199,70200,6541298,102086.833247381,na,74995.0
149,2018-09-24,2208345.0,6659.5,54975,0.0,0.0,96795.503829699,81700,7283453,0.0,na,1047.0
150,2018-10-01,2603008.33333333,1175275.8,49176,20238.3333333333,1.13941218209777E7,106126.994738053,92600,7884994,27505.3460652988,na,34469.0
151,2018-10-08,2313193.33333333,0.0,0,19423.6666666667,2.03221666378081E7,109267.152263969,86200,7610669,60475.3849432094,na,22232.0
152,2018-10-15,2813106.66666667,333671.4,118326,7793.33333333333,3.57630730249146E7,91340.1751276106,95700,8364119,73277.5989869177,na,49409.0
153,2018-10-22,2665110.0,0.0,0,0.0,0.0,97560.5653738603,101200,8898789,0.0,na,49575.0
154,2018-10-29,2947875.0,189674.8,0,15961.0,9.15491687893118E7,122740.647742513,103500,8887808,237954.284762006,na,42276.0
155,2018-11-05,2768941.66666667,0.0,272610,10916.3333333333,0.0,118564.717831719,105400,8982377,0.0,na,25332.0
156,2018-11-12,2666240.0,430131.9,0,0.0,1.17062263807058E8,0.0,0,7958631,261854.245872038,na,19401.6538461538
157,2018-11-19,2559550.0,0.0,88225,0.0,0.0,0.0,0,8467716,0.0,na,19401.6538461538
158,2018-11-26,2653766.66666667,401439.0,0,113471.0,6.57516508720504E7,156564.384643268,120000,7536793,210107.853205335,na,301.0
159,2018-12-03,2144703.33333333,0.0,100423,0.0,0.0,114123.514524079,104900,7097277,0.0,na,34832.0
160,2018-12-10,2451681.66666667,0.0,0,47120.0,0.0,151823.007320345,118300,7989344,0.0,na,68792.0
161,2018-12-17,2469486.66666667,0.0,28807,0.0,0.0,114071.928355144,116600,8215719,0.0,na,37199.0
162,2018-12-24,3208150.0,1185349.3,0,55889.6666666667,9.66015534034517E7,150402.982508403,128600,8125604,272040.222180001,na,80865.0
163,2018-12-31,2746851.66666667,385349.3,0,0.0,0.0,104634.475661954,108700,7314043,0.0,na,54011.0
164,2019-01-07,2566165.0,0.0,618,6777.0,1.9817822402767E7,121001.5988881,127700,8498273,44274.4433338182,na,96236.0
165,2019-01-14,2554828.33333333,86879.8,0,5513.33333333333,0.0,111908.358826267,122200,8027598,0.0,na,80627.0
166,2019-01-21,1959706.66666667,0.0,51141,21901.6666666667,3.11458308214119E7,117177.888404019,103600,6399576,85845.0660816449,na,629.0
167,2019-01-28,2424486.66666667,237573.0,0,0.0,0.0,118231.102502625,114000,7415825,0.0,na,19984.0
168,2019-02-04,1953060.0,0.0,0,32040.3333333333,0.0,141999.14495789,104400,6396016,0.0,na,55736.0
169,2019-02-11,2086935.0,95421.3,0,8939.33333333333,2.40044616457822E7,0.0,0,6492811,63309.3589794594,na,19401.6538461538
170,2019-02-18,1675816.66666667,0.0,0,3762.66666666667,0.0,0.0,0,5588194,0.0,na,19401.6538461538
171,2019-02-25,1976413.33333333,135907.2,57906,4843.66666666667,1532956.80029679,88530.3940853686,91400,6078682,0.0,na,46243.0
172,2019-03-04,1480760.0,0.0,0,0.0,0.0,74092.1597032109,74600,4933396,0.0,na,36979.0
173,2019-03-11,1425500.0,41177.4,0,0.0,0.0,82059.7834656947,67800,4597321,0.0,na,23990.0
174,2019-03-18,1156860.0,0.0,0,0.0,8.31794097629757E7,55251.9175169058,53700,3818999,183622.273526816,na,16046.0
175,2019-03-25,1252230.0,26125.4,10810,0.0,0.0,70906.0407303274,59800,4083211,0.0,na,28980.0
176,2019-04-01,1209373.33333333,0.0,0,0.0,3.54941202503475E7,73888.3865262265,59100,4017170,99259.6634705213,na,7453.0
177,2019-04-08,1183801.66666667,359173.6,3857,0.0,0.0,67424.7476038523,55900,3588301,0.0,na,37507.0
178,2019-04-15,918593.333333333,0.0,0,22471.6666666667,0.0,65246.2457488291,48000,3026520,0.0,na,43718.0
179,2019-04-22,2303595.0,36588.0,0,0.0,1.93614437325485E7,51481.4598927391,47000,3140648,47907.9178484821,event2,1167.0
180,2019-04-29,890675.0,0.0,0,93494.3333333333,3.16875790119844E7,55800.883550942,42200,2828444,75393.723657443,na,1546.0
181,2019-05-06,989913.333333334,27719.2,0,0.0,0.0,56108.4685251117,54600,3221944,0.0,na,34861.0
182,2019-05-13,915791.666666667,0.0,0,15928.0,6.52072408248195E7,0.0,0,2992910,193651.751868791,na,19401.6538461538
183,2019-05-20,746205.0,219302.9,10817,28421.6666666667,0.0,0.0,0,2251073,0.0,na,19401.6538461538
184,2019-05-27,723785.0,0.0,6877,0.0,0.0,40124.0952768712,39100,2412562,0.0,na,21000.0
185,2019-06-03,903125.0,0.0,0,10439.3333333333,0.0,54839.6903624525,46500,2989592,0.0,na,19903.0
186,2019-06-10,672250.0,0.0,0,0.0,3909308.61749337,30502.6915288298,31100,2240235,1485.85815504597,na,8031.0
187,2019-06-17,739783.333333334,0.0,0,0.0,0.0,36154.6542802826,36100,2467712,0.0,na,20173.0
188,2019-06-24,831833.333333334,46203.6,0,0.0,0.0,48423.8619139418,37000,2672133,0.0,na,26938.0
189,2019-07-01,939896.666666667,0.0,0,0.0,0.0,48153.03818963,47900,3132194,0.0,na,8713.0
190,2019-07-08,946510.0,39527.7,0,0.0,0.0,45335.2228242904,46000,3060018,0.0,na,17384.0
191,2019-07-15,1063913.33333333,0.0,124622,0.0,0.0,76716.4668024285,57900,3505139,0.0,na,4153.0
192,2019-07-22,1278223.33333333,90371.3,0,0.0,2.99562310561007E7,77347.9166491889,63900,4004072,85804.2405253004,na,25861.0
193,2019-07-29,1500828.33333333,0.0,72061,0.0,0.0,75327.0770969219,71400,4982078,0.0,na,1820.0
194,2019-08-05,1843118.33333333,97574.8,0,0.0,1.78298272914578E8,104317.933903763,81100,5672763,462011.742240227,na,40473.0
195,2019-08-12,1443773.33333333,0.0,63650,0.0,0.0,0.0,0,4783227,0.0,na,19401.6538461538
196,2019-08-19,1397435.0,0.0,0,24152.0,9.83160545946602E7,0.0,0,4520254,292347.534331714,na,19401.6538461538
197,2019-08-26,1930413.33333333,0.0,72229,0.0,0.0,113575.402136485,97400,6397749,0.0,na,48083.0
198,2019-09-02,2106968.33333333,1698.1,0,102983.666666667,4.07453977592359E7,117697.775200114,96000,6637702,121138.759541499,na,34061.0
199,2019-09-09,2233758.33333333,369508.5,7959,0.0,0.0,137929.668313847,103200,6774864,0.0,na,31325.0
200,2019-09-16,2575148.33333333,0.0,21491,109532.333333333,1.89848117007357E7,155722.986344923,120700,8116568,39926.5215831248,na,70417.0
201,2019-09-23,2510951.66666667,208627.1,0,0.0,0.0,145612.54134248,115700,7702931,0.0,na,50905.0
202,2019-09-30,2275620.0,0.0,58979,147067.0,0.0,129677.555932966,110100,7060116,0.0,na,79428.0
203,2019-10-07,2505161.66666667,144479.6,0,0.0,1.41452747101691E8,127530.226540496,115100,7603752,415793.810328513,na,58284.0
204,2019-10-14,2456240.0,0.0,60433,153723.666666667,0.0,152840.323412162,112100,7612762,0.0,na,28157.0
205,2019-10-21,2182825.0,154917.6,0,0.0,5.68819622352079E7,103680.047820637,103700,6701667,133624.575523537,na,10644.0
206,2019-10-28,2377706.66666667,21982.5,14094,17476.0,0.0,138387.704137643,114700,7688920,0.0,na,9597.0
207,2019-11-04,2732825.0,22453.0,0,24051.3333333333,0.0,151707.990462205,134100,8815710,0.0,na,90189.0
208,2019-11-11,2767788.33333333,0.0,0,0.0,1.27981119765239E8,0.0,0,9067759,366190.759369898,na,19401.6538461538
